AttackCount,Organisation
89231,Unknown
10094,Taliban
6864,Islamic State of Iraq and the Levant (ISIL)
4563,Shining Path (SL)
4126,Al-Shabaab
3351,Farabundo Marti National Liberation Front (FMLN)
3249,New People's Army (NPA)
3018,Boko Haram
2776,Houthi extremists (Ansar Allah)
2669,Irish Republican Army (IRA)
2524,Kurdistan Workers' Party (PKK)
2490,Revolutionary Armed Forces of Colombia (FARC)
2037,Communist Party of India - Maoist (CPI-Maoist)
2024,Basque Fatherland and Freedom (ETA)
1979,Maoists
1760,National Liberation Army of Colombia (ELN)
1602,Liberation Tigers of Tamil Eelam (LTTE)
1468,Tehrik-i-Taliban Pakistan (TTP)
1123,Palestinians
1099,Al-Qaida in the Arabian Peninsula (AQAP)
937,Fulani extremists
895,Nicaraguan Democratic Force (FDN)
851,Separatists
830,Manuel Rodriguez Patriotic Front (FPMR)
806,Muslim extremists
716,Sikh Extremists
639,Corsican National Liberation Front (FLNC)
638,Al-Qaida in Iraq
628,Donetsk People's Republic
607,African National Congress (South Africa)
579,Abu Sayyaf Group (ASG)
559,Khorasan Chapter of the Islamic State
557,Tupac Amaru Revolutionary Movement (MRTA)
555,M-19 (Movement of April 19)
545,Palestinian Extremists
511,Sinai Province of the Islamic State
510,Bangsamoro Islamic Freedom Movement (BIFM)
459,Hamas (Islamic Resistance Movement)
433,People's Liberation Front (JVP)
432,National Union for the Total Independence of Angola (UNITA)
413,Hezbollah
379,United Liberation Front of Assam (ULFA)
373,Algerian Islamic Extremists
369,Narco-Terrorists
369,Moro Islamic Liberation Front (MILF)
360,Tripoli Province of the Islamic State
339,Lord's Resistance Army (LRA)
335,Protestant extremists
334,Allied Democratic Forces (ADF)
327,Chechen Rebels
326,Death Squad
321,Baloch Republican Army (BRA)
312,Mozambique National Resistance Movement (MNR)
306,Movement of the Revolutionary Left (MIR) (Chile)
294,Muslim Militants
283,Popular Liberation Army (EPL)
280,Gunmen
279,Communist Party of Nepal - Maoist (CPN-Maoist-Chand)
276,Al-Nusrah Front
270,Ulster Volunteer Force (UVF)
269,Hizbul Mujahideen (HM)
264,Al-Qaida in the Islamic Maghreb (AQIM)
260,Ulster Freedom Fighters (UFF)
259,Al-Gama'at al-Islamiyya (IG)
259,Neo-Nazi extremists
252,Dev Sol
236,Armed Islamic Group (GIA)
235,Anti-Abortion extremists
231,Nicaraguan Resistance
223,Lashkar-e-Taiba (LeT)
223,Palestinian Islamic Jihad (PIJ)
217,Tamils
217,Red Brigades
215,Janjaweed
214,Salafist Group for Preaching and Fighting (GSPC)
210,First of October Antifascist Resistance Group (GRAPO)
210,Luhansk People's Republic
209,Sandinista National Liberation Front (FSLN)
206,Simon Bolivar Guerrilla Coordinating Board (CGSB)
198,Baloch Liberation Front (BLF)
198,Baloch Liberation Army (BLA)
197,Moro National Liberation Front (MNLF)
194,Islamist extremists
186,Armenian Secret Army for the Liberation of Armenia
177,Al-Aqsa Martyrs Brigade
176,National Democratic Front of Bodoland (NDFB)
